fileName, processingTime, fitness
100.410.387305577.cnf,0.0,398
100.410.417933666.cnf,0.0,397
100.410.430142855.cnf,0.0,394
100.410.447004890.cnf,0.0,402
100.410.455731701.cnf,0.0,395
100.410.456412111.cnf,0.015625,395
100.410.493366755.cnf,0.0,397
100.410.536371506.cnf,0.0,399
100.410.59012100.cnf,0.0,395
100.410.593203825.cnf,0.0,400
100.410.699718290.cnf,0.0,397
100.410.699744512.cnf,0.0,395
100.410.703539617.cnf,0.0,396
100.410.714373159.cnf,0.0,402
100.410.730428774.cnf,0.0,402
100.410.748497649.cnf,0.0,401
100.410.865550131.cnf,0.015625,398
100.410.884024713.cnf,0.0,401
100.410.885938738.cnf,0.015625,399
100.410.891788457.cnf,0.0,401
100.410.943139823.cnf,0.0,398
100.410.947230899.cnf,0.0,400
100.410.951635834.cnf,0.0,402
100.410.956835828.cnf,0.0,398
100.410.965077260.cnf,0.0,398
100.420.1004370250.cnf,0.015625,408
100.420.1018887015.cnf,0.0,412
100.420.1027789284.cnf,0.0,403
100.420.103750882.cnf,0.015625,407
100.420.105354414.cnf,0.0,410
100.420.1137516528.cnf,0.0,409
100.420.1182894637.cnf,0.0,410
100.420.1244568963.cnf,0.0,409
100.420.1252715679.cnf,0.0,409
100.420.1301491304.cnf,0.0,407
100.420.1338323141.cnf,0.0,404
100.420.143119294.cnf,0.0,407
100.420.143200046.cnf,0.0,410
100.420.18433043.cnf,0.0,405
100.420.212275068.cnf,0.0,408
100.420.236603380.cnf,0.0,407
100.420.248389397.cnf,0.0,405
100.420.250339992.cnf,0.0,411
100.420.254227893.cnf,0.0,408
100.420.259141876.cnf,0.0,409
100.420.264006863.cnf,0.0,410
100.420.279259170.cnf,0.0,407
100.420.306915120.cnf,0.0,410
100.420.350899733.cnf,0.0,407
100.420.462406586.cnf,0.0,409
100.420.508764440.cnf,0.0,403
100.420.513314709.cnf,0.0,410
100.420.517278458.cnf,0.0,408
100.420.518689011.cnf,0.0,411
100.420.520571188.cnf,0.0,405
100.420.529185557.cnf,0.0,409
100.420.554788831.cnf,0.0,405
100.420.604335459.cnf,0.0,409
100.420.6076625.cnf,0.0,408
100.420.608137651.cnf,0.0,409
100.420.631989035.cnf,0.0,411
100.420.648503742.cnf,0.0,410
100.420.655542588.cnf,0.0,409
100.420.660152703.cnf,0.0,409
100.420.720084340.cnf,0.015625,408
100.420.727977011.cnf,0.0,413
100.420.760693063.cnf,0.015625,404
100.420.77495801.cnf,0.0,405
100.420.779746526.cnf,0.0,410
100.420.783505917.cnf,0.0,411
100.420.78668076.cnf,0.0,407
100.420.837469646.cnf,0.0,409
100.420.918981202.cnf,0.0,409
100.420.940484221.cnf,0.0,404
100.420.94472846.cnf,0.0,408
100.430.1009492299.cnf,0.0,418
100.430.1026925615.cnf,0.0,417
100.430.1109013847.cnf,0.0,419
100.430.1144243042.cnf,0.0,415
100.430.1145009819.cnf,0.0,416
100.430.11841216.cnf,0.0,414
100.430.1190092751.cnf,0.0,415
100.430.1198532553.cnf,0.0,417
100.430.1230680788.cnf,0.0,423
100.430.1264799022.cnf,0.0,419
100.430.1272843192.cnf,0.0,419
100.430.1291431781.cnf,0.0,419
100.430.1295553926.cnf,0.0,421
100.430.1309663570.cnf,0.0,419
100.430.1311725926.cnf,0.0,417
100.430.1332119530.cnf,0.0,417
100.430.1362651598.cnf,0.0,419
100.430.138787627.cnf,0.0,421
100.430.165418000.cnf,0.0,417
100.430.169712775.cnf,0.0,421
100.430.189575513.cnf,0.0,418
100.430.250643689.cnf,0.015625,415
100.430.283929550.cnf,0.0,417
100.430.294942140.cnf,0.0,413
100.430.297670159.cnf,0.0,418
100.430.31052356.cnf,0.0,422
100.430.311192608.cnf,0.0,421
100.430.312952587.cnf,0.0,419
100.430.332966265.cnf,0.0,414
100.430.345819663.cnf,0.0,418
100.430.402460209.cnf,0.015625,415
100.430.412627036.cnf,0.015625,416
100.430.424141971.cnf,0.0,420
100.430.430833627.cnf,0.0,417
100.430.452966654.cnf,0.0,417
100.430.470266958.cnf,0.0,418
100.430.548412766.cnf,0.0,415
100.430.618397536.cnf,0.0,416
100.430.635040118.cnf,0.015625,418
100.430.671555998.cnf,0.0,417
100.430.676259029.cnf,0.0,421
100.430.818546406.cnf,0.0,416
100.430.855454777.cnf,0.0,413
100.430.873008634.cnf,0.0,417
100.430.883642754.cnf,0.0,421
100.430.891876911.cnf,0.0,418
100.430.911209613.cnf,0.0,417
100.430.955921359.cnf,0.0,411
100.430.975412199.cnf,0.0,416
100.430.98717088.cnf,0.0,418
100.440.1055366826.cnf,0.0,434
100.440.1058678104.cnf,0.0,431
100.440.1083045173.cnf,0.0,427
100.440.1114956439.cnf,0.0,431
100.440.1157971829.cnf,0.0,424
100.440.1172890912.cnf,0.0,427
100.440.1176126774.cnf,0.015625,425
100.440.1218687394.cnf,0.0,429
100.440.1306976744.cnf,0.0,429
100.440.1336653464.cnf,0.0,429
100.440.1341570152.cnf,0.0,431
100.440.1369153400.cnf,0.0,424
