fileName, processingTime, fitness
uf20-0156.cnf,0.96875,90
uf20-0157.cnf,0.953125,88
uf20-0158.cnf,0.890625,90
uf20-0159.cnf,0.84375,88
uf20-0160.cnf,0.9375,89
uf20-0161.cnf,0.921875,88
uf20-0162.cnf,0.890625,89
uf20-0163.cnf,0.875,89
uf20-0164.cnf,0.921875,89
uf20-0165.cnf,0.859375,88
uf50-01.cnf,12.4375,207
uf50-010.cnf,12.421875,205
uf50-02.cnf,12.46875,209
uf50-03.cnf,12.453125,207
uf50-04.cnf,13.03125,205
uf50-05.cnf,12.859375,207
uf50-06.cnf,12.25,207
uf50-07.cnf,13.0,209
uf50-08.cnf,13.0,205
uf50-09.cnf,12.546875,209
uf75-01.cnf,41.265625,302
uf75-010.cnf,41.703125,304
uf75-02.cnf,43.515625,305
uf75-03.cnf,41.578125,305
uf75-04.cnf,42.65625,305
uf75-05.cnf,42.953125,302
uf75-06.cnf,41.890625,305
uf75-07.cnf,43.03125,303
uf75-08.cnf,41.515625,303
uf75-09.cnf,43.03125,302
uuf50-01.cnf,12.53125,203
uuf50-010.cnf,12.5,205
uuf50-02.cnf,12.703125,203
uuf50-03.cnf,12.84375,206
uuf50-04.cnf,12.46875,206
uuf50-05.cnf,12.90625,206
uuf50-06.cnf,13.296875,206
uuf50-07.cnf,12.703125,205
uuf50-08.cnf,12.546875,204
uuf50-09.cnf,12.96875,206
uuf75-01.cnf,42.140625,306
uuf75-010.cnf,41.828125,303
uuf75-02.cnf,42.203125,303
uuf75-03.cnf,41.25,303
uuf75-04.cnf,41.765625,304
uuf75-05.cnf,40.703125,303
uuf75-06.cnf,41.09375,303
uuf75-07.cnf,40.921875,302
uuf75-08.cnf,41.109375,306
uuf75-09.cnf,40.9375,307
100.410.1010795163.cnf,85.171875,383
100.410.1039232932.cnf,84.671875,384
100.410.1059004828.cnf,85.375,384
100.410.1162274926.cnf,88.046875,385
100.410.1167671470.cnf,86.703125,381
100.410.1169081110.cnf,87.46875,380
100.410.1198757303.cnf,85.734375,382
100.410.1203798210.cnf,87.15625,385
100.410.1296325318.cnf,85.515625,383
100.410.1297652889.cnf,87.984375,382
100.410.1300691559.cnf,87.46875,381
100.410.1306390556.cnf,86.71875,380
100.410.1325082094.cnf,86.015625,381
100.410.1343419672.cnf,86.875,381
100.410.1352161695.cnf,85.328125,382
100.410.1356802637.cnf,86.03125,380
100.410.163250976.cnf,86.171875,381
100.410.17065549.cnf,86.90625,381
100.410.18944532.cnf,87.5,381
100.410.195152248.cnf,85.625,382
100.410.241891775.cnf,85.578125,381
100.410.249209365.cnf,87.875,382
100.410.264858125.cnf,87.203125,384
100.410.309690489.cnf,86.875,382
100.410.341202973.cnf,84.515625,379
100.410.387305577.cnf,86.171875,381
100.410.417933666.cnf,85.875,384
